Hydrogen - computed field radius and total energy values for n = 251 to 256:,,,,
n,Radius [m],Energy [MeV],,
251,5.30E-11,0.857032,,
252,5.34E-11,0.857032,,
253,5.38E-11,0.857032,,
254,5.43E-11,0.857032,,
255,5.47E-11,0.857032,,
256,5.51E-11,0.857032,,
,,,,
Helium - computed field radius and total energy values for n = 191 to 196:,,,,
n,Radius [m],Energy [MeV],,
191,3.07E-11,3.428088,,
192,3.10E-11,3.428089,,
193,3.13E-11,3.42809,,
194,3.17E-11,3.428091,,
195,3.20E-11,3.428092,,
196,3.23E-11,3.428093,,
,,,,
Lithium - computed field radius and total energy values for n = 421 to 426:,,,,
n,Radius [m],Energy [MeV],,
421,2.97E-10,7.713306,,
422,2.99E-10,7.713325,,
423,3.01E-10,7.713343,,
424,3.03E-10,7.71336,,
425,3.04E-10,7.713375,,
426,3.06E-10,7.713391,,
